Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Question Type
Questions,Normal Game,What quality do you value most in a partner?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What’s your love language?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you believe in soulmates?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How did your parents influence your views on relationships?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the best relationship advice you’ve ever received?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you think opposites attract?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your ideal date night?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,How important is communication in a relationship to you?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you think trust can be rebuilt once broken?,Relationships,Text Answer,,,TRUE,4,playful,trust,"trust, fun, lifestyle, general",,,,"spicy-night, final-round",spicy-escalation,jealousy-trust,
Questions,Normal Game,What’s a deal-breaker for you in relationships?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How do you like to show affection?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite memory from our relationship?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,How do you handle disagreements in a relationship?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What does commitment mean to you?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s one thing you think keeps relationships strong?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you prefer to spend a lot of time together or have lots of space?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"money, lifestyle, fun, general",,,,"quick-fire, warm-up",funny-break,finance,
Questions,Normal Game,What’s the best surprise you’ve ever planned for a partner?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What makes you feel most loved?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How do you prefer to celebrate anniversaries?,Relationships,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What do you think is the most romantic gesture?,Relationships,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What’s your idea of the perfect romantic getaway?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What song would you put on a romantic playlist?,Romance,Text Answer,,,TRUE,3,romantic,romance,"entertainment, memories, fun, lifestyle, romantic, future",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you enjoy love letters?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What’s the most romantic movie you’ve ever seen?,Romance,Text Answer,,,TRUE,3,romantic,romance,"entertainment, memories, fun, lifestyle, romantic, future",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What scent reminds you of romance?,Romance,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you like PDA or prefer keeping romance private?,Romance,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s a romantic gesture you’d love to experience?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Which city do you think is the most romantic?,Romance,Text Answer,,,TRUE,3,romantic,romance,"memories, lifestyle, romantic, travel, future",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you prefer fancy dinners or cozy nights in?,Romance,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the most romantic thing someone has done for you?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,How do you set the mood for a romantic evening?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What flower do you associate with love?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Would you rather receive chocolates or jewelry as a romantic gift?,Romance,Text Answer,,,TRUE,3,romantic,romance,"memories, fun, random, hypothetical, romantic, future",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you think romance fades over time?,Romance,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite love story (real or fictional)?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,How do you feel about Valentine’s Day?,Romance,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the most romantic line you’ve heard in a song?,Romance,Text Answer,,,TRUE,3,romantic,romance,"entertainment, memories, fun, lifestyle, romantic, future",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Do you enjoy slow dancing?,Romance,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite romantic compliment?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What’s one romantic tradition you want to start?,Romance,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,What’s your biggest turn-on?,Sexual,Text Answer,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Do you prefer morning or evening intimacy?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s a fantasy you’d like to explore together?,Sexual,Text Answer,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,How do you feel about using toys in the bedroom?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite way to be touched?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you have a favorite part of my body?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s something new you’ve always wanted to try?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How important is foreplay to you?,Sexual,Text Answer,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,What kind of lingerie or underwear do you find most attractive?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s a non-sexual habit of mine you find sexy?,Sexual,Text Answer,,,TRUE,4,spicy,sex,"hot, habits, sex-life, personality, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Do you like talking during intimacy or staying quiet?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the most adventurous place you’d want to be intimate?,Sexual,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,How do you feel about spontaneous intimacy vs planned?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you prefer lights on or off?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,"What music, if any, do you enjoy during intimacy?",Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What’s your favorite after-intimacy activity?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How do you communicate what you want in bed?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s an instant mood killer for you?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Are you more dominant or submissive?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How do you feel about role-playing?,Sexual,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite sport to watch?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Have you ever played on a sports team?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What’s the most memorable sporting event you’ve attended?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Who is your favorite athlete of all time?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you prefer watching sports live or on TV?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What’s your earliest sports memory?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,"If you could go to any sporting event in the world, what would it be?",Sports,Text Answer,,,TRUE,2,playful,future,"fun, random, hypothetical, lifestyle, future, travel",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,What’s a sport you enjoy but others might not expect?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,"Do you support a specific team? If so, which?",Sports,Text Answer,,,TRUE,2,playful,lifestyle,"sports, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Have you ever met a professional athlete?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What sport would you like to learn?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Do you prefer team sports or individual sports?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What’s the most challenging sport in your opinion?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Who was your sports idol growing up?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What’s a sports tradition you love?,Sports,Text Answer,,,TRUE,3,romantic,romance,"entertainment, sports, memories, fun, lifestyle, romantic, future",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,Have you ever been injured while playing a sport?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Which Olympic event do you look forward to the most?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you enjoy extreme sports?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What’s your favorite sports movie?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,Would you rather play or coach a team?,Sports,Text Answer,,,TRUE,2,playful,lifestyle,"entertainment, sports, fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,entertainment,
Questions,Normal Game,What piece of technology can you not live without?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you prefer Android or iOS?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What app do you use the most on your phone?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Would you rather give up social media or streaming services?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite video game?,Technology,Text Answer,,,TRUE,2,competitive,lifestyle,"entertainment, sports, fun, lifestyle",,,,"quick-fire, warm-up",escalation,entertainment,
Questions,Normal Game,How often do you upgrade your phone?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you enjoy smart home devices?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What technology are you most excited about in the future?,Technology,Text Answer,,,TRUE,2,playful,future,"future, fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,Do you prefer texting or phone calls?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite tech gadget from childhood?,Technology,Text Answer,,,TRUE,3,playful,memories,"childhood, memories, fun, lifestyle",,,,"date-night, normal",deep-connection,memories,
Questions,Normal Game,Have you ever built a PC?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,How do you feel about virtual reality?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s one tech skill you wish you had?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you worry about AI taking over jobs?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the most useful app you have installed?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Are you good at troubleshooting technology problems?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you think technology makes life easier or more complicated?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s a tech trend you don’t understand?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Would you rather lose all your photos or all your contacts?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"fun, random, hypothetical, lifestyle",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your opinion on self-driving cars?,Technology,Text Answer,,,TRUE,2,playful,lifestyle,"cars, lifestyle, fun, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your number one dream travel destination?,Travel,Text Answer,,,TRUE,3,emotional,future,"emotional, deep, lifestyle, future, travel",,,,"date-night, normal",deep-connection,future-plans,
Questions,Normal Game,Do you prefer beach holidays or city breaks?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,What’s the most interesting culture you’ve experienced?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the longest flight you’ve ever taken?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Do you like to plan travel itineraries or go with the flow?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,What’s your favorite mode of travel?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,"Do you collect souvenirs? If so, what kind?",Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the most adventurous thing you’ve done while traveling?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Have you ever traveled alone?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s your favorite travel memory with me?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,Do you prefer luxury hotels or cozy Airbnbs?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s a travel mishap you can laugh about now?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,Would you rather revisit the same place or explore somewhere new?,Travel,Text Answer,,,TRUE,2,playful,future,"fun, random, hypothetical, lifestyle, future, travel",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,What’s your favorite travel photo you’ve taken?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,Do you try local food or stick to what you know when traveling?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"food, drink, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,food-drink,
Questions,Normal Game,What’s a destination you’d love to return to?,Travel,Text Answer,,,TRUE,3,romantic,romance,"romantic, memories, future, fun",,,,"date-night, normal",romantic-moment,memories,
Questions,Normal Game,How do you feel about group tours?,Travel,Text Answer,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,What’s the first thing you do when you arrive at a new place?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,What’s a travel lesson you’ve learned the hard way?,Travel,Text Answer,,,TRUE,2,playful,future,"future, travel, lifestyle, fun",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,Would you rather take a spontaneous trip or plan months in advance?,Travel,Text Answer,,,TRUE,2,playful,future,"fun, random, hypothetical, lifestyle, future, travel",,,,"quick-fire, warm-up",funny-break,future-plans,
Questions,Normal Game,Who is more likely to initiate sex first?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Who is more likely to suggest trying something new in bed?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Who is more likely to be louder during sex?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Who is more likely to be more dominant?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Who is more likely to send a naughty text first?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Who is more likely to get turned on faster?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Who is more likely to want a quickie?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Who is more likely to be caught masturbating?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Who is more likely to own sex toys?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Who is more likely to have the higher body count?,Sexual,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,competitive,lifestyle,"fun, lifestyle, general",,,too-personal,"quick-fire, warm-up",escalation,lifestyle,
Questions,Normal Game,Rank your top 3 sexiest outfits on me.,Sexual,Ranked / Top 3,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Rank your top 3 places you’d like to have sex.,Sexual,Ranked / Top 3,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Rank your top 3 biggest turn-ons.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Rank your top 3 fantasies.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Rank your top 3 favourite parts of my body.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Rank your top 3 best kisses we’ve had.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Rank your top 3 places to be kissed.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Rank your top 3 things I do in bed.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Rank your top 3 sexiest memories of us.,Sexual,Ranked / Top 3,,,TRUE,4,spicy,sex,"sex-life, hot, attraction, spicy",,,,"spicy-night, final-round",spicy-escalation,bedroom-intimacy,
Questions,Normal Game,Rank your top 3 reasons I turn you on.,Sexual,Ranked / Top 3,,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Jay is more likely than Kim to suggest trying something new in the bedroom.,Sexual,True or False,True | False,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Kim is more likely than Jay to turn a normal compliment into something flirty.,Sexual,True or False,True | False,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Jay is more likely than Kim to rewatch the same comfort show.,Films & TV,True or False,True | False,,TRUE,2,playful,lifestyle,"fun, lifestyle, general",,,,"true-false, quick-fire, warm-up",funny-break,lifestyle,
Questions,Normal Game,Jay was more likely than Kim to get told off at school.,Childhood,True or False,True | False,,TRUE,3,playful,memories,"childhood, memories, fun, lifestyle",,,,"true-false, date-night, normal",deep-connection,memories,
