Sheet,Game,Question,Category,Question Type,Options,Correct Answer,Active,Intensity,Tone,Relationship Area,Tags,Notes,Memory Lane Mode,Avoid If,Game Suitability,AI Use Case,Repeat Group,Original Sheet,Original Question Type
Most Like To,Most Likely To,Who is most likely to keep a secret surprise until the perfect moment?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,playful;observant,,,,party;couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to make others feel heard?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,listening;care,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn something small into a running joke?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,humor;memory,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to flirt without words?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,subtle;energy,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to stay positive when things go wrong?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,optimistic;resilient,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to make a quiet moment feel meaningful?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,presence;depth,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to take a joke too far?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,bold;humor,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to notice when someone needs a break?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,awareness;care,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to create inside jokes quickly?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,creative;social,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to flirt through compliments?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,direct;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to step up when no one else does?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,leader;initiative,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to remember something meaningful later?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,memory;care,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to make someone feel instantly at ease?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,warm;social,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to turn awkward silence into laughter?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,humor;timing,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to send a message they overthink later?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,light,emotional,overthinking;text,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to get emotionally invested in a conversation?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,depth;emotion,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to act playful even when serious?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,playful,social,energy;deflection,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to give meaningful advice?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,insight;support,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to flirt in a confident way?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,confident;direct,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to turn something simple into something memorable?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,intentional;memory,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to take control in a group decision?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,leader;decisive,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to notice when someone is nervous?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,empathy;awareness,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to make something feel exciting instantly?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;enthusiasm,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to keep a conversation going effortlessly?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,social;flow,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to flirt through teasing comments?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,teasing;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to say something meaningful at the perfect time?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,timing;depth,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn something awkward into something charming?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,charm;humor,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to get caught daydreaming?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,light,emotional,dreamy;absent,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to notice when someone needs encouragement?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,support;care,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to create a memorable moment without planning it?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,spontaneous;depth,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to flirt through subtle gestures?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,subtle;gesture,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to keep things fun even when plans fail?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,adaptable;energy,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to say something bold and stand by it?,Personality,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,confident;direct,,,,solo,insight,,,
Most Like To,Most Likely To,Who is most likely to notice emotional distance quickly?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,intuition;depth,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to make a moment feel more intense?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,intense;presence,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to bring energy into a quiet room?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;social,,,,party,engagement,,,
Most Like To,Most Likely To,Who is most likely to give someone confidence without saying much?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,support;presence,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to turn a conversation into something deeper?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,warm,emotional,depth;flow,,,,couples,insight,,,
Most Like To,Most Likely To,Who is most likely to flirt through playful challenges?,Romance,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,3,flirty,romantic,challenge;flirty,,,,couples,engagement,,,
Most Like To,Most Likely To,Who is most likely to keep things balanced in a tense moment?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,emotional,balance;calm,,,,friends,insight,,,
Most Like To,Most Likely To,Who is most likely to make others feel included naturally?,Connection,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,2,warm,social,inclusive;warm,,,,friends,engagement,,,
Most Like To,Most Likely To,Who is most likely to make something feel more exciting than expected?,Fun,Multiple Choice,Jay | Kim | Both | Neither,,TRUE,1,playful,social,energy;excitement,,,,party,engagement,,,
